,id,user_id,start_timestamp,end_timestamp,start_state,diagnoses,diagnosis_certainty,action,next_state,video_loaded_time,video_stop_time,dx_selected_time,dx_confirmed_time,ax_selected_time,browser_refreshed,corrupted_dx_suggestions,corrupted_ax_suggestions,dx_suggestions,ax_suggestions,action_idx,last_login,is_superuser,username,is_staff,is_active,study_condition,start_condition,scenario_completed,date_started,date_finished,study_management,rng_state,age_group,gender,robot_experience,date_demographics_completed,supposed_to_grab_bowl,supposed_to_go_to_couch,will_view_in_first_person,supposed_to_select_only_one_error,actions_involve_invisible_arm_motion,number_incorrect_knowledge_reviews,number_state_requests,could_identify_problems,not_sure_how_to_help,information_was_enough,actions_were_not_enough,sus_like_to_use_frequently,sus_unnecessarily_complex,sus_easy_to_use,sus_technical,sus_well_integrated,sus_inconsistency,sus_most_people_can_learn,sus_awkward,sus_confident,sus_learn_a_lot,comments,date_survey_completed,ignore_data_reason,groups,user_permissions,num_actions,noise_level,has_noise,has_dx,has_ax,has_dxax,has_ax_only,has_dx_only,has_suggestions,suggestion_type,num_optimal,num_actions_diff,frac_actions_diff,duration,dx_decision_duration,ax_decision_duration,decision_duration,frac_dx_decision_duration,frac_ax_decision_duration,chose_dx,chose_ax,optimal_dx,optimal_ax,lost_selected,cannot_move_selected,base_collision_selected,path_blocked_selected,cannot_pick_selected,cannot_see_selected,different_location_selected,object_fell_selected,battery_low_selected,video_problem_selected,none_selected,failed_to_place,gripper_empty,mislocalized,mug_visible,mug_graspable,bowl_visible,bowl_graspable,jug_visible,jug_graspable,arm_motion,robot_location,state_idx
0,14,75,2020-02-13 23:05:03.812855+00:00,2020-02-13 23:05:44.866451+00:00,"('kc', 'dt', 'occluding', 'above_mug', 'default', 'empty', 'dt')",The cup is not where it should be,4,look_at_kc,"('kc', 'dt', 'occluding', 'above_mug', 'default', 'empty', 'dt')",2020-02-13 23:05:04.001000+00:00,2020-02-13 23:05:05.937000+00:00,2020-02-13 23:05:24.253000+00:00,2020-02-13 23:05:28.663000+00:00,2020-02-13 23:05:42.172000+00:00,False,False,False,"The cup is not where it should be, The cup is not visible, The cup cannot be picked up","Navigate to Dining Table, Look at Couch, Restart the camera",0,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2,1,3,1,2,3,2,1,2,3,1,3,2,3,,2020-02-13 23:14:02.101000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,7,2,0.15384615384615385,41.053596,18.316,13.509,36.235,0.5054781288809163,0.37281633779494966,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,False,False,False,False,False,False,False,kc,159
1,13,75,2020-02-13 23:05:44.866451+00:00,2020-02-13 23:06:54.527572+00:00,"('kc', 'dt', 'occluding', 'above_mug', 'default', 'empty', 'dt')",The cup is not where it should be,5,look_at_dt,"('kc', 'dt', 'occluding', 'above_mug', 'default', 'empty', 'dt')",2020-02-13 23:05:44.069000+00:00,2020-02-13 23:05:46.017000+00:00,2020-02-13 23:05:55.490000+00:00,2020-02-13 23:05:58.793000+00:00,2020-02-13 23:06:51.627000+00:00,False,False,False,"The cup is not where it should be, The cup is not visible, The cup cannot be picked up","Navigate to Dining Table, Navigate to Kitchen Counter, Update robot's location belief to:  Dining Table",1,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2,1,3,1,2,3,2,1,2,3,1,3,2,3,,2020-02-13 23:14:02.101000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,7,2,0.15384615384615385,69.661121,9.473,52.834,65.61,0.1443834781283341,0.8052735863435453,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,False,False,False,False,False,False,False,kc,159
2,12,75,2020-02-13 23:06:54.527572+00:00,2020-02-13 23:07:30.086271+00:00,"('kc', 'dt', 'occluding', 'above_mug', 'default', 'empty', 'dt')",The cup is not where it should be,5,go_to_dt,"('dt', 'dt', 'occluding', 'above_mug', 'default', 'empty', 'dt')",2020-02-13 23:06:56.543000+00:00,2020-02-13 23:07:11.323000+00:00,2020-02-13 23:07:17.480000+00:00,2020-02-13 23:07:21.285000+00:00,2020-02-13 23:07:27.352000+00:00,False,False,False,"The cup is not where it should be, The cup is not visible, The cup cannot be picked up","Navigate to Dining Table, Update robot's location belief to:  Kitchen Counter, Update robot's location belief to: Couch",2,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2,1,3,1,2,3,2,1,2,3,1,3,2,3,,2020-02-13 23:14:02.101000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,7,2,0.15384615384615385,35.558699,6.157,6.067,16.029,0.3841162892257783,0.37850146609270696,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,,True,False,False,False,False,False,False,False,False,kc,159
3,11,75,2020-02-13 23:07:30.086271+00:00,2020-02-13 23:08:22.437043+00:00,"('dt', 'dt', 'occluding', 'above_mug', 'default', 'empty', 'dt')",The cup is not visible,4,pick_jug,"('dt', 'dt', 'gripper', 'above_mug', 'default', 'jug', 'dt')",2020-02-13 23:07:31.565000+00:00,2020-02-13 23:07:50.073000+00:00,2020-02-13 23:08:00.195000+00:00,2020-02-13 23:08:06.901000+00:00,2020-02-13 23:08:19.714000+00:00,False,False,False,"The cup is not visible, The cup cannot be picked up, The object fell out of the robot's hand","Pick up the Jug, Look at Dining Table, Restart the camera",3,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2,1,3,1,2,3,2,1,2,3,1,3,2,3,,2020-02-13 23:14:02.101000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,7,2,0.15384615384615385,52.350772,10.122,12.813,29.641,0.3414864545730576,0.4322728652879458,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,,True,False,False,False,True,False,True,True,True,dt,114
4,10,75,2020-02-13 23:08:22.437043+00:00,2020-02-13 23:09:13.106131+00:00,"('dt', 'dt', 'gripper', 'above_mug', 'default', 'jug', 'dt')",The cup cannot be picked up,5,place,"('dt', 'dt', 'gripper', 'above_mug', 'default', 'empty', 'dt')",2020-02-13 23:08:22.762000+00:00,2020-02-13 23:08:46.507000+00:00,2020-02-13 23:08:56.338000+00:00,2020-02-13 23:09:01.525000+00:00,2020-02-13 23:09:10.397000+00:00,False,False,False,"The cup cannot be picked up, The robot is stuck and cannot move to a location, The battery is low","Put away held object, Update robot's location belief to:  Dining Table, Update robot's location belief to: Couch",4,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2,1,3,1,2,3,2,1,2,3,1,3,2,3,,2020-02-13 23:14:02.101000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,7,2,0.15384615384615385,50.669088,9.831,8.872,23.89,0.4115110925073252,0.3713687735454165,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,dt,103
5,9,75,2020-02-13 23:09:13.106131+00:00,2020-02-13 23:10:20.320467+00:00,"('dt', 'dt', 'gripper', 'above_mug', 'default', 'empty', 'dt')",The cup cannot be picked up,4,pick_bowl,"('dt', 'dt', 'gripper', 'gripper', 'default', 'bowl', 'dt')",2020-02-13 23:09:14.068000+00:00,2020-02-13 23:09:49.276000+00:00,2020-02-13 23:09:58.098000+00:00,2020-02-13 23:10:11.538000+00:00,2020-02-13 23:10:17.340000+00:00,False,False,False,"The cup cannot be picked up, The robot is stuck and cannot move to a location, The cup is not visible","Pick up the Bowl, Look at Couch, Pick up the Cup",5,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2,1,3,1,2,3,2,1,2,3,1,3,2,3,,2020-02-13 23:14:02.101000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,7,2,0.15384615384615385,67.214336,8.822,5.802,28.064,0.3143529076396807,0.20674173318129987,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,,True,False,True,False,True,True,False,False,True,dt,45
6,8,75,2020-02-13 23:10:20.320467+00:00,2020-02-13 23:11:16.755820+00:00,"('dt', 'dt', 'gripper', 'gripper', 'default', 'bowl', 'dt')",There is no problem,5,place,"('dt', 'dt', 'gripper', 'gripper', 'default', 'empty', 'dt')",2020-02-13 23:10:20.774000+00:00,2020-02-13 23:10:43.209000+00:00,2020-02-13 23:11:06.164000+00:00,2020-02-13 23:11:10.214000+00:00,2020-02-13 23:11:14.068000+00:00,False,False,False,"There is no problem, The robot is lost, The robot's path is blocked","Put away held object, Update robot's location belief to:  Dining Table, Update robot's location belief to:  Kitchen Counter",6,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2,1,3,1,2,3,2,1,2,3,1,3,2,3,,2020-02-13 23:14:02.101000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,7,2,0.15384615384615385,56.435353,22.955,3.854,30.859,0.7438672672478044,0.12489063158235847,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,dt,40
7,7,75,2020-02-13 23:11:16.755820+00:00,2020-02-13 23:12:06.885050+00:00,"('dt', 'dt', 'gripper', 'gripper', 'default', 'empty', 'dt')",There is no problem,5,pick_mug,"('dt', 'dt', 'gripper', 'gripper', 'gripper', 'mug', 'dt')",2020-02-13 23:11:17.465000+00:00,2020-02-13 23:11:52.658000+00:00,2020-02-13 23:11:57.708000+00:00,2020-02-13 23:12:01.030000+00:00,2020-02-13 23:12:04.257000+00:00,False,False,False,"There is no problem, The cup is not visible, The robot is stuck and cannot move to a location","Pick up the Cup, Look at Kitchen Counter, Navigate to Dining Table",7,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2,1,3,1,2,3,2,1,2,3,1,3,2,3,,2020-02-13 23:14:02.101000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,7,2,0.15384615384615385,50.12923,5.05,3.227,11.599,0.43538236054832313,0.2782136391068195,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,,True,False,True,True,False,False,False,False,True,dt,40
8,6,75,2020-02-13 23:12:06.885050+00:00,2020-02-13 23:12:55.952295+00:00,"('dt', 'dt', 'gripper', 'gripper', 'gripper', 'mug', 'dt')",There is no problem,5,go_to_c,"('c', 'dt', 'gripper', 'gripper', 'gripper', 'mug', 'dt')",2020-02-13 23:12:07.603000+00:00,2020-02-13 23:12:36.041000+00:00,2020-02-13 23:12:47.060000+00:00,2020-02-13 23:12:49.866000+00:00,2020-02-13 23:12:53.318000+00:00,False,False,False,"There is no problem, The cup is not visible, The object fell out of the robot's hand","Navigate to Couch, Update robot's location belief to: Couch, Update robot's location belief to:  Dining Table",8,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2,1,3,1,2,3,2,1,2,3,1,3,2,3,,2020-02-13 23:14:02.101000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,7,2,0.15384615384615385,49.067245,11.019,3.452,17.277,0.6377843375586039,0.19980320657521558,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,dt,40
9,23,76,2020-02-13 23:08:58.969073+00:00,2020-02-13 23:10:05.522472+00:00,"('kc', 'kc', 'occluding', 'default', 'default', 'empty', 'dt')",The cup is not visible,3,remove_obstacle,"('kc', 'kc', 'occluding', 'default', 'default', 'empty', 'dt')",2020-02-13 23:09:03.033000+00:00,2020-02-13 23:09:05.019000+00:00,2020-02-13 23:09:26.179000+00:00,2020-02-13 23:09:34.660000+00:00,2020-02-13 23:10:06.306000+00:00,False,False,False,"The cup is not visible, The cup cannot be picked up, The robot's path is blocked","Pick up the Jug, Navigate to Dining Table, Navigate to Kitchen Counter",0,2020-02-13 23:02:49.250000+00:00,False,mj6qyacf39,False,True,4,kc.kc.occluding.default.default.empty.dt,True,2020-02-13 23:08:59.916000+00:00,2020-02-13 23:15:56.953000+00:00,3,5856,3,M,1,2020-02-13 23:04:31.444000+00:00,False,True,True,False,True,1,-1,3,3,2,0,3,1,3,1,2,1,4,1,2,1,"i found it pretty easy to use,some problems with identifying the exact problems but fairly easy to pick up on",2020-02-13 23:17:11.652000+00:00,,[],[],9,0.0,False,True,True,True,False,False,True,DXAX,4,5,0.3125,66.553399,21.16,31.646,61.287,0.3452608220340366,0.5163574656941929,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,True,False,False,False,True,True,True,True,False,kc,171
