,id,last_login,is_superuser,username,is_staff,is_active,date_joined,date_modified,study_condition,start_condition,scenario_completed,date_started,date_finished,study_management_id,rng_state,age_group,gender,robot_experience,date_demographics_completed,supposed_to_grab_bowl,supposed_to_go_to_couch,will_view_in_first_person,supposed_to_select_only_one_error,actions_involve_invisible_arm_motion,number_incorrect_knowledge_reviews,number_state_requests,could_identify_problems,not_sure_how_to_help,information_was_enough,actions_were_not_enough,sus_like_to_use_frequently,sus_unnecessarily_complex,sus_easy_to_use,sus_technical,sus_well_integrated,sus_inconsistency,sus_most_people_can_learn,sus_awkward,sus_confident,sus_learn_a_lot,comments,date_survey_completed,ignore_data_reason,noise_level,has_noise,has_dx,has_ax,has_dxax,has_ax_only,has_dx_only,has_suggestions,suggestion_type,num_actions,num_refreshes,num_optimal,num_dx_optimal,num_ax_optimal,num_dx_corrupt,num_ax_corrupt,num_dx_followed,num_ax_followed,decision_duration_sum,dx_decision_duration_sum,ax_decision_duration_sum,decision_duration_mean,dx_decision_duration_mean,ax_decision_duration_mean,decision_duration_median,dx_decision_duration_median,ax_decision_duration_median,diagnosis_certainty_sum,diagnosis_certainty_mean,diagnosis_certainty_median,num_actions_diff,frac_actions_diff,frac_dx_optimal,frac_dx_followed,frac_ax_optimal,frac_ax_followed,combo1,combo3,combo2,combo4,combo5,combo6,combo7,sus
0,75,2020-02-13 23:01:34.859000+00:00,False,9d8pds6k9u,False,True,2020-04-08 22:22:17.567305+00:00,2020-04-08 22:22:17.574697+00:00,4,kc.dt.occluding.above_mug.default.empty.dt,True,2020-02-13 23:05:04.768000+00:00,2020-02-13 23:13:14.800000+00:00,3,11012,5,F,1,2020-02-13 23:02:17.017000+00:00,False,True,True,False,True,0,-1,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,2020-02-13 23:14:02.101000+00:00,,0.0,False,True,True,True,False,False,True,DXAX,9,0,7,9,7,0.0,0.0,9.0,7.0,259.204,259.204,259.204,28.800444444444445,28.800444444444445,28.800444444444445,28.064,28.064,28.064,42,4.666666666666667,5.0,2,0.15384615384615385,1.0,1.0,0.7777777777777778,0.7777777777777778,5.0,6.0,5.0,6.0,6.0,5.0,11.0,40.0
1,76,2020-02-13 23:02:49.250000+00:00,False,mj6qyacf39,False,True,2020-04-08 22:22:17.584043+00:00,2020-04-08 22:22:17.591343+00:00,4,kc.kc.occluding.default.default.empty.dt,True,2020-02-13 23:08:59.916000+00:00,2020-02-13 23:15:56.953000+00:00,3,5856,3,M,1,2020-02-13 23:04:31.444000+00:00,False,True,True,False,True,1,-1,3.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,"i found it pretty easy to use,some problems with identifying the exact problems but fairly easy to pick up on",2020-02-13 23:17:11.652000+00:00,,0.0,False,True,True,True,False,False,True,DXAX,9,0,4,5,5,0.0,0.0,6.0,6.0,257.204,257.204,257.204,28.578222222222223,28.578222222222223,28.578222222222223,23.786,23.786,23.786,33,3.6666666666666665,4.0,5,0.3125,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,4.0,6.0,5.0,5.0,3.0,7.0,10.0,72.5
2,77,2020-02-13 23:04:07.993000+00:00,False,avbp9f8tup,False,True,2020-04-08 22:22:17.601761+00:00,2020-04-08 22:22:17.608150+00:00,4,dt.kc.default.default.default.empty.kc,True,2020-02-13 23:21:44.083000+00:00,2020-02-13 23:25:02.149000+00:00,3,79803,3,M,0,2020-02-13 23:13:02.213000+00:00,False,True,True,False,True,2,-1,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,"I was confused at first with the number of options available at some points. Once I figured it out, it was easy.",2020-02-13 23:26:15.645000+00:00,,0.0,False,True,True,True,False,False,True,DXAX,5,0,4,3,4,0.0,0.0,3.0,4.0,116.855,116.855,116.855,23.371000000000002,23.371000000000002,23.371000000000002,23.813,23.813,23.813,21,4.2,4.0,1,0.0625,0.6,0.6,0.8,0.8,2.0,6.0,4.0,4.0,4.0,4.0,8.0,55.0
3,78,2020-02-13 23:04:28.905000+00:00,False,qxx8r3pdrw,False,True,2020-04-08 22:22:17.618570+00:00,2020-04-08 22:22:17.625047+00:00,4,kc.dt.default.default.default.empty.dt,True,2020-02-13 23:09:41.926000+00:00,2020-02-13 23:13:38.586000+00:00,3,79803,3,M,3,2020-02-13 23:05:02.403000+00:00,False,True,True,False,True,0,-1,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,"It seemed good once I got into it a couple of times. Now that I have hindsight, I can see that everything was set up very well. No complaints from me!",2020-02-13 23:14:46.494000+00:00,,0.0,False,True,True,True,False,False,True,DXAX,5,0,3,5,3,0.0,0.0,5.0,4.0,148.97400000000002,148.97400000000002,148.97400000000002,29.794800000000002,29.794800000000002,29.794800000000002,31.514,31.514,31.514,23,4.6,5.0,2,0.11764705882352941,1.0,1.0,0.6,0.8,6.0,8.0,7.0,7.0,7.0,7.0,14.0,72.5
4,81,2020-02-13 23:04:56.660000+00:00,False,ke8t4cu89n,False,True,2020-04-08 22:22:17.667501+00:00,2020-04-08 22:22:17.674801+00:00,3,dt.kc.default.default.default.empty.kc,True,2020-02-13 23:07:44.760000+00:00,2020-02-13 23:09:52.737000+00:00,3,11963,3,M,2,2020-02-13 23:05:07.882000+00:00,False,True,True,False,True,0,-1,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,"My first action was a sort of 'test', but I learned how to use it very quickly and the robot was really responsive.",2020-02-13 23:10:34.455000+00:00,,0.0,False,False,True,False,True,False,True,AX,4,0,4,2,4,,0.0,,4.0,50.361999999999995,50.361999999999995,50.361999999999995,12.590499999999999,12.590499999999999,12.590499999999999,10.3505,10.3505,10.3505,16,4.0,4.0,0,0.0,0.5,,1.0,1.0,6.0,7.0,7.0,6.0,7.0,6.0,13.0,92.5
5,82,2020-02-13 23:04:57.469000+00:00,False,znuef4sjt5,False,True,2020-04-08 22:22:17.684211+00:00,2020-04-08 22:22:17.691520+00:00,3,kc.dt.default.default.default.empty.dt,True,2020-02-13 23:08:15.016000+00:00,2020-02-13 23:11:28.470000+00:00,3,11963,3,M,0,2020-02-13 23:05:10.523000+00:00,False,True,True,False,True,0,-1,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,The system worked beautifully.,2020-02-13 23:12:21.214000+00:00,,0.0,False,False,True,False,True,False,True,AX,4,0,3,4,3,,0.0,,3.0,107.40100000000001,107.40100000000001,107.40100000000001,26.850250000000003,26.850250000000003,26.850250000000003,30.8325,30.8325,30.8325,18,4.5,4.5,1,0.058823529411764705,1.0,,0.75,0.75,6.0,6.0,6.0,6.0,6.0,6.0,12.0,70.0
6,83,2020-02-13 23:05:16.472000+00:00,False,7sgmpwdp5f,False,True,2020-04-08 22:22:17.700592+00:00,2020-04-08 22:22:17.708314+00:00,2,kc.dt.occluding.above_mug.default.empty.dt,False,2020-02-13 23:09:29.750000+00:00,2020-02-13 23:22:38.287000+00:00,3,81997,7,M,0,2020-02-13 23:05:35.069000+00:00,False,True,True,False,True,0,-1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,,2020-02-13 23:23:14.501000+00:00,,0.0,False,True,False,False,False,True,True,DX,20,0,7,14,2,0.0,,14.0,,611.7029999999999,611.7029999999999,611.7029999999999,30.58514999999999,30.58514999999999,30.58514999999999,25.812,25.812,25.812,73,3.65,4.0,13,1.0,0.7,0.7,0.1,,0.0,2.0,1.0,1.0,1.0,1.0,2.0,20.0
7,84,2020-02-13 23:05:19.431000+00:00,False,yu4pmt2c34,False,True,2020-04-08 22:22:17.717522+00:00,2020-04-08 22:22:17.724996+00:00,2,kc.kc.occluding.default.default.empty.dt,True,2020-02-13 23:09:06.152000+00:00,2020-02-13 23:19:53.129000+00:00,3,56231,4,M,0,2020-02-13 23:05:38.706000+00:00,False,True,True,False,True,1,-1,2.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,2020-02-13 23:20:53.308000+00:00,,0.0,False,True,False,False,False,True,True,DX,17,0,4,16,6,0.0,,16.0,,383.553,383.553,383.553,22.561941176470587,22.561941176470587,22.561941176470587,20.471,20.471,20.471,83,4.882352941176471,5.0,13,0.8125,0.9411764705882353,0.9411764705882353,0.35294117647058826,,3.0,8.0,6.0,5.0,5.0,6.0,11.0,97.5
8,85,2020-02-13 23:05:21.233000+00:00,False,3fb8qj5sqa,False,True,2020-04-08 22:22:17.735173+00:00,2020-04-08 22:22:17.741549+00:00,2,dt.kc.default.default.default.empty.kc,True,2020-02-13 23:09:53.962000+00:00,2020-02-13 23:13:57.293000+00:00,3,20026,5,M,0,2020-02-13 23:05:35.555000+00:00,False,True,True,False,True,0,-1,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,,2020-02-13 23:14:47.675000+00:00,,0.0,False,True,False,False,False,True,True,DX,7,0,4,5,4,0.0,,5.0,,134.81600000000003,134.81600000000003,134.81600000000003,19.259428571428575,19.259428571428575,19.259428571428575,17.924,17.924,17.924,25,3.5714285714285716,4.0,3,0.1875,0.7142857142857143,0.7142857142857143,0.5714285714285714,,2.0,4.0,2.0,4.0,2.0,4.0,6.0,65.0
9,86,2020-02-13 23:05:32.778000+00:00,False,reb72pjdn6,False,True,2020-04-08 22:22:17.752000+00:00,2020-04-08 22:22:17.758224+00:00,2,kc.dt.default.default.default.empty.dt,True,2020-02-13 23:09:03.986000+00:00,2020-02-13 23:11:57.774000+00:00,3,91893,3,M,0,2020-02-13 23:06:00.543000+00:00,False,True,True,False,True,0,-1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"Everything was perfect. The robot listened perfectly to every command, and every command was simple to understand.",2020-02-13 23:12:51.408000+00:00,,0.0,False,True,False,False,False,True,True,DX,5,0,3,5,3,0.0,,5.0,,90.84400000000001,90.84400000000001,90.84400000000001,18.1688,18.1688,18.1688,15.716,15.716,15.716,25,5.0,5.0,2,0.11764705882352941,1.0,1.0,0.6,,8.0,8.0,8.0,8.0,8.0,8.0,16.0,100.0
